day,date,txns_seen,value_seen,flagged,precision,recall,critical,high,medium,new_alerts
1,2026-08-01,12,1071792,0,0.0,0.0,0,0,0,
2,2026-08-02,25,5899687,0,0.0,0.0,0,0,0,
3,2026-08-03,33,8584801,1,0.0,0.0,0,1,0,IDIB263486
4,2026-08-04,45,13419810,1,0.0,0.0,0,1,0,
5,2026-08-05,55,16112675,1,0.0,0.0,0,1,0,
6,2026-08-06,70,21909717,7,0.0,0.0,1,1,5,HDFC885903 HDFC938186 IBKL304268 IDIB554882 UTIB237346 YESB781233
7,2026-08-07,81,25697783,8,0.125,0.1,2,0,6,SBIN909774
8,2026-08-08,96,30519379,10,0.3,0.214,3,0,7,HDFC300599 HDFC574140
9,2026-08-09,103,32328899,10,0.3,0.214,3,0,7,
10,2026-08-10,114,35671458,9,0.333,0.176,4,5,0,
11,2026-08-11,124,39743175,11,0.273,0.158,4,2,5,IBKL789195 KKBK724815
12,2026-08-12,142,57041502,16,0.5,0.32,5,0,11,CNRB243795 HDFC801992 ICIC176070 ICIC511423 PUNB549145
13,2026-08-13,155,59327385,25,0.68,0.68,5,0,20,BARB687513 ICIC742282 PUNB656506 UBIN166447 UTIB441817 UTIB826381 UTIB896910 UTIB922369 YESB735581
14,2026-08-14,161,61101164,25,0.68,0.654,5,0,20,
15,2026-08-15,171,66288063,25,0.68,0.607,3,2,20,
16,2026-08-16,182,71457892,30,0.733,0.733,3,2,25,ICIC359685 IDIB312429 PUNB372202 SBIN632840 UTIB601257
17,2026-08-17,193,75386932,32,0.75,0.774,3,5,24,SBIN243921 YESB330254
18,2026-08-18,208,83117367,29,0.931,0.844,4,5,20,BARB257079 SBIN228293 UBIN261949
19,2026-08-19,216,86724815,31,0.935,0.853,6,3,22,SBIN104123 UTIB119613
20,2026-08-20,229,89882111,35,0.943,0.943,8,3,24,HDFC259211 KKBK226182 SBIN596493 UBIN914225
21,2026-08-21,236,92786590,35,0.943,0.943,8,3,24,
22,2026-08-22,247,96463368,33,1.0,0.943,8,1,24,
23,2026-08-23,255,98531454,35,1.0,1.0,8,4,23,IDIB774714 PUNB249924
24,2026-08-24,269,102951552,35,1.0,1.0,10,1,24,
25,2026-08-25,274,103415188,35,1.0,1.0,10,1,24,
26,2026-08-26,283,105169297,35,1.0,1.0,10,1,24,
27,2026-08-27,287,106186609,35,1.0,1.0,10,1,24,
28,2026-08-28,292,106642150,35,1.0,1.0,10,1,24,
29,2026-08-29,299,107139477,35,1.0,1.0,10,1,24,
30,2026-08-30,301,107151277,35,1.0,1.0,10,1,24,
