txn_id,sender,receiver,amount,day,channel,is_fraud
T001,ACC_RETAIL_A,ACC_MULE_1,950000,1,RTGS,1
T002,ACC_RETAIL_A,ACC_MULE_1,940000,2,RTGS,1
T003,ACC_RETAIL_A,ACC_MULE_1,960000,3,RTGS,1
T004,ACC_RETAIL_A,ACC_MULE_1,930000,4,RTGS,1
T005,ACC_MULE_1,ACC_SPLIT_X,600000,5,IMPS,1
T006,ACC_MULE_1,ACC_SPLIT_Y,610000,5,IMPS,1
T007,ACC_MULE_1,ACC_SPLIT_Z,590000,5,IMPS,1
T008,ACC_SPLIT_X,ACC_POOL,580000,7,IMPS,1
T009,ACC_SPLIT_Y,ACC_POOL,595000,7,IMPS,1
T010,ACC_SPLIT_Z,ACC_POOL,575000,8,IMPS,1
T011,ACC_POOL,ACC_EXIT,570000,9,RTGS,1
T012,ACC_NORMAL_1,ACC_NORMAL_2,45000,3,UPI,0
T013,ACC_NORMAL_2,ACC_NORMAL_3,120000,6,NEFT,0
T014,ACC_NORMAL_3,ACC_NORMAL_1,88000,11,UPI,0
T015,ACC_NORMAL_4,ACC_NORMAL_2,230000,14,NEFT,0
