tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar
0,A0,A0,TRANSFER,459609.0,2026-08-01T10:00:00,1
1,A1,A5,TRANSFER,442312.0,2026-08-02T10:00:00,0
2,A2,A10,TRANSFER,125100.0,2026-08-03T10:00:00,0
3,A3,A15,TRANSFER,678064.0,2026-08-04T10:00:00,0
4,A4,A20,TRANSFER,405711.0,2026-08-05T10:00:00,0
5,A5,A25,TRANSFER,72096.0,2026-08-06T10:00:00,0
6,A6,A30,TRANSFER,160185.0,2026-08-07T10:00:00,0
7,A7,A35,TRANSFER,223033.0,2026-08-08T10:00:00,0
8,A8,A40,TRANSFER,601119.0,2026-08-09T10:00:00,0
9,A9,A0,TRANSFER,612930.0,2026-08-10T10:00:00,0
10,A10,A5,TRANSFER,658005.0,2026-08-11T10:00:00,0
11,A11,A10,TRANSFER,488438.0,2026-08-12T10:00:00,0
12,A12,A15,TRANSFER,728152.0,2026-08-13T10:00:00,0
13,A13,A20,TRANSFER,253673.0,2026-08-14T10:00:00,0
14,A14,A25,TRANSFER,468446.0,2026-08-15T10:00:00,0
15,A15,A30,TRANSFER,504978.0,2026-08-16T10:00:00,0
16,A16,A35,TRANSFER,297253.0,2026-08-17T10:00:00,0
17,A17,A40,TRANSFER,366494.0,2026-08-18T10:00:00,0
18,A18,A0,TRANSFER,565940.0,2026-08-19T10:00:00,0
19,A19,A5,TRANSFER,690573.0,2026-08-20T10:00:00,1
20,A20,A10,TRANSFER,737835.0,2026-08-21T10:00:00,0
21,A21,A15,TRANSFER,237887.0,2026-08-22T10:00:00,0
22,A22,A20,TRANSFER,575472.0,2026-08-23T10:00:00,0
23,A23,A25,TRANSFER,607395.0,2026-08-24T10:00:00,0
24,A24,A30,TRANSFER,750165.0,2026-08-25T10:00:00,0
25,A25,A35,TRANSFER,510360.0,2026-08-26T10:00:00,0
26,A26,A40,TRANSFER,164974.0,2026-08-27T10:00:00,0
27,A27,A0,TRANSFER,593640.0,2026-08-28T10:00:00,0
28,A28,A5,TRANSFER,140644.0,2026-08-01T10:00:00,0
29,A29,A10,TRANSFER,305717.0,2026-08-02T10:00:00,0
30,A30,A15,TRANSFER,393856.0,2026-08-03T10:00:00,0
31,A31,A20,TRANSFER,581312.0,2026-08-04T10:00:00,0
32,A32,A25,TRANSFER,138469.0,2026-08-05T10:00:00,0
33,A33,A30,TRANSFER,560248.0,2026-08-06T10:00:00,0
34,A34,A35,TRANSFER,119700.0,2026-08-07T10:00:00,0
35,A35,A40,TRANSFER,313053.0,2026-08-08T10:00:00,0
36,A36,A0,TRANSFER,101671.0,2026-08-09T10:00:00,0
37,A37,A5,TRANSFER,26029.0,2026-08-10T10:00:00,0
38,A38,A10,TRANSFER,263993.0,2026-08-11T10:00:00,1
39,A39,A15,TRANSFER,770516.0,2026-08-12T10:00:00,0
40,A40,A20,TRANSFER,451057.0,2026-08-13T10:00:00,0
41,A41,A25,TRANSFER,572312.0,2026-08-14T10:00:00,0
42,A42,A30,TRANSFER,187006.0,2026-08-15T10:00:00,0
43,A43,A35,TRANSFER,167767.0,2026-08-16T10:00:00,0
44,A44,A40,TRANSFER,725016.0,2026-08-17T10:00:00,0
45,A0,A0,TRANSFER,585991.0,2026-08-18T10:00:00,0
46,A1,A5,TRANSFER,393575.0,2026-08-19T10:00:00,0
47,A2,A10,TRANSFER,226553.0,2026-08-20T10:00:00,0
48,A3,A15,TRANSFER,690343.0,2026-08-21T10:00:00,0
49,A4,A20,TRANSFER,378081.0,2026-08-22T10:00:00,0
50,A5,A25,TRANSFER,46954.0,2026-08-23T10:00:00,0
51,A6,A30,TRANSFER,688611.0,2026-08-24T10:00:00,0
52,A7,A35,TRANSFER,337031.0,2026-08-25T10:00:00,0
53,A8,A40,TRANSFER,361217.0,2026-08-26T10:00:00,0
54,A9,A0,TRANSFER,308608.0,2026-08-27T10:00:00,0
55,A10,A5,TRANSFER,233965.0,2026-08-28T10:00:00,0
56,A11,A10,TRANSFER,482694.0,2026-08-01T10:00:00,0
57,A12,A15,TRANSFER,247865.0,2026-08-02T10:00:00,1
58,A13,A20,TRANSFER,409760.0,2026-08-03T10:00:00,0
59,A14,A25,TRANSFER,66228.0,2026-08-04T10:00:00,0
60,A15,A30,TRANSFER,667608.0,2026-08-05T10:00:00,0
