txId1,txId2,class
tx0,tx0,1
tx1,tx11,2
tx2,tx22,2
tx3,tx33,2
tx4,tx44,2
tx5,tx55,2
tx6,tx6,2
tx7,tx17,2
tx8,tx28,2
tx9,tx39,2
tx10,tx50,2
tx11,tx1,2
tx12,tx12,2
tx13,tx23,1
tx14,tx34,2
tx15,tx45,2
tx16,tx56,2
tx17,tx7,2
tx18,tx18,2
tx19,tx29,2
tx20,tx40,2
tx21,tx51,2
tx22,tx2,2
tx23,tx13,2
tx24,tx24,2
tx25,tx35,2
tx26,tx46,1
tx27,tx57,2
tx28,tx8,2
tx29,tx19,2
tx30,tx30,2
tx31,tx41,2
tx32,tx52,2
tx33,tx3,2
tx34,tx14,2
tx35,tx25,2
tx36,tx36,2
tx37,tx47,2
tx38,tx58,2
tx39,tx9,1
tx40,tx20,2
tx41,tx31,2
tx42,tx42,2
tx43,tx53,2
tx44,tx4,2
tx45,tx15,2
tx46,tx26,2
tx47,tx37,2
tx48,tx48,2
tx49,tx59,2
tx50,tx10,2
tx51,tx21,2
tx52,tx32,1
tx53,tx43,2
tx54,tx54,2
tx55,tx5,2
tx56,tx16,2
tx57,tx27,2
tx58,tx38,2
tx59,tx49,2
tx0,tx0,2
tx1,tx11,2
tx2,tx22,2
tx3,tx33,2
tx4,tx44,2
tx5,tx55,1
tx6,tx6,2
tx7,tx17,2
tx8,tx28,2
tx9,tx39,2
tx10,tx50,2
tx11,tx1,2
tx12,tx12,2
tx13,tx23,2
tx14,tx34,2
tx15,tx45,2
tx16,tx56,2
tx17,tx7,2
tx18,tx18,1
tx19,tx29,2
tx20,tx40,2
tx21,tx51,2
tx22,tx2,2
tx23,tx13,2
tx24,tx24,2
tx25,tx35,2
tx26,tx46,2
tx27,tx57,2
tx28,tx8,2
tx29,tx19,2
tx30,tx30,2
tx31,tx41,1
tx32,tx52,2
tx33,tx3,2
tx34,tx14,2
tx35,tx25,2
tx36,tx36,2
tx37,tx47,2
tx38,tx58,2
tx39,tx9,2
tx40,tx20,2
tx41,tx31,2
tx42,tx42,2
tx43,tx53,2
tx44,tx4,1
tx45,tx15,2
tx46,tx26,2
tx47,tx37,2
tx48,tx48,2
tx49,tx59,2
tx50,tx10,2
tx51,tx21,2
tx52,tx32,2
tx53,tx43,2
tx54,tx54,2
tx55,tx5,2
tx56,tx16,2
tx57,tx27,1
tx58,tx38,2
tx59,tx49,2
tx0,tx0,2
tx1,tx11,2
tx2,tx22,2
tx3,tx33,2
tx4,tx44,2
tx5,tx55,2
tx6,tx6,2
tx7,tx17,2
tx8,tx28,2
tx9,tx39,2
tx10,tx50,1
tx11,tx1,2
tx12,tx12,2
tx13,tx23,2
tx14,tx34,2
tx15,tx45,2
tx16,tx56,2
tx17,tx7,2
tx18,tx18,2
tx19,tx29,2
tx20,tx40,2
tx21,tx51,2
tx22,tx2,2
tx23,tx13,1
tx24,tx24,2
tx25,tx35,2
tx26,tx46,2
tx27,tx57,2
tx28,tx8,2
tx29,tx19,2
tx30,tx30,2
tx31,tx41,2
tx32,tx52,2
tx33,tx3,2
tx34,tx14,2
tx35,tx25,2
tx36,tx36,1
tx37,tx47,2
tx38,tx58,2
tx39,tx9,2
tx40,tx20,2
tx41,tx31,2
tx42,tx42,2
tx43,tx53,2
tx44,tx4,2
tx45,tx15,2
tx46,tx26,2
tx47,tx37,2
tx48,tx48,2
tx49,tx59,1
tx50,tx10,2
tx51,tx21,2
tx52,tx32,2
tx53,tx43,2
tx54,tx54,2
tx55,tx5,2
tx56,tx16,2
tx57,tx27,2
tx58,tx38,2
tx59,tx49,2
tx0,tx0,2
tx1,tx11,2
tx2,tx22,1
tx3,tx33,2
tx4,tx44,2
tx5,tx55,2
tx6,tx6,2
tx7,tx17,2
tx8,tx28,2
tx9,tx39,2
tx10,tx50,2
tx11,tx1,2
tx12,tx12,2
tx13,tx23,2
tx14,tx34,2
tx15,tx45,1
tx16,tx56,2
tx17,tx7,2
tx18,tx18,2
tx19,tx29,2
