step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,CASH_OUT,637240.0,C100000,0.0,0.0,C200000,0.0,0.0,1,0
1,PAYMENT,764874.0,C100001,0.0,0.0,C200003,0.0,0.0,0,0
2,CASH_OUT,613647.0,C100002,0.0,0.0,C200006,0.0,0.0,0,0
3,CASH_OUT,662379.0,C100003,0.0,0.0,C200009,0.0,0.0,0,0
4,TRANSFER,272178.0,C100004,0.0,0.0,C200012,0.0,0.0,0,0
5,PAYMENT,151709.0,C100005,0.0,0.0,C200015,0.0,0.0,0,0
6,PAYMENT,681115.0,C100006,0.0,0.0,C200018,0.0,0.0,0,0
7,CASH_OUT,150087.0,C100007,0.0,0.0,C200021,0.0,0.0,0,0
8,TRANSFER,827590.0,C100008,0.0,0.0,C200024,0.0,0.0,0,0
9,CASH_OUT,537381.0,C100009,0.0,0.0,C200027,0.0,0.0,0,0
10,CASH_OUT,297161.0,C100010,0.0,0.0,C200030,0.0,0.0,0,0
11,CASH_OUT,843042.0,C100011,0.0,0.0,C200033,0.0,0.0,0,0
12,TRANSFER,140462.0,C100012,0.0,0.0,C200036,0.0,0.0,0,0
13,PAYMENT,463505.0,C100013,0.0,0.0,C200039,0.0,0.0,0,0
14,PAYMENT,83307.0,C100014,0.0,0.0,C200042,0.0,0.0,0,0
15,PAYMENT,868919.0,C100015,0.0,0.0,C200045,0.0,0.0,0,0
16,TRANSFER,518263.0,C100016,0.0,0.0,C200048,0.0,0.0,0,0
17,TRANSFER,723496.0,C100017,0.0,0.0,C200001,0.0,0.0,0,0
18,PAYMENT,254448.0,C100018,0.0,0.0,C200004,0.0,0.0,0,0
19,TRANSFER,721815.0,C100019,0.0,0.0,C200007,0.0,0.0,0,0
20,TRANSFER,632854.0,C100020,0.0,0.0,C200010,0.0,0.0,0,0
21,CASH_OUT,579669.0,C100021,0.0,0.0,C200013,0.0,0.0,0,0
22,CASH_OUT,855555.0,C100022,0.0,0.0,C200016,0.0,0.0,0,0
23,PAYMENT,390708.0,C100023,0.0,0.0,C200019,0.0,0.0,1,0
24,PAYMENT,374164.0,C100024,0.0,0.0,C200022,0.0,0.0,0,0
25,PAYMENT,623216.0,C100025,0.0,0.0,C200025,0.0,0.0,0,0
26,PAYMENT,751714.0,C100026,0.0,0.0,C200028,0.0,0.0,0,0
27,CASH_OUT,302233.0,C100027,0.0,0.0,C200031,0.0,0.0,0,0
28,TRANSFER,603021.0,C100028,0.0,0.0,C200034,0.0,0.0,0,0
29,TRANSFER,188924.0,C100029,0.0,0.0,C200037,0.0,0.0,0,0
30,PAYMENT,496978.0,C100030,0.0,0.0,C200040,0.0,0.0,0,0
31,TRANSFER,692485.0,C100031,0.0,0.0,C200043,0.0,0.0,0,0
32,PAYMENT,59718.0,C100032,0.0,0.0,C200046,0.0,0.0,0,0
33,CASH_OUT,655330.0,C100033,0.0,0.0,C200049,0.0,0.0,0,0
34,CASH_OUT,14873.0,C100034,0.0,0.0,C200002,0.0,0.0,0,0
35,TRANSFER,862556.0,C100035,0.0,0.0,C200005,0.0,0.0,0,0
36,CASH_OUT,422334.0,C100036,0.0,0.0,C200008,0.0,0.0,0,0
37,TRANSFER,368754.0,C100037,0.0,0.0,C200011,0.0,0.0,0,0
38,PAYMENT,648679.0,C100038,0.0,0.0,C200014,0.0,0.0,0,0
39,TRANSFER,471445.0,C100039,0.0,0.0,C200017,0.0,0.0,0,0
40,CASH_OUT,658033.0,C100040,0.0,0.0,C200020,0.0,0.0,0,0
41,CASH_OUT,77197.0,C100041,0.0,0.0,C200023,0.0,0.0,0,0
42,CASH_OUT,506949.0,C100042,0.0,0.0,C200026,0.0,0.0,0,0
43,TRANSFER,502739.0,C100043,0.0,0.0,C200029,0.0,0.0,0,0
44,PAYMENT,838970.0,C100044,0.0,0.0,C200032,0.0,0.0,0,0
45,TRANSFER,36605.0,C100045,0.0,0.0,C200035,0.0,0.0,0,0
46,CASH_OUT,408084.0,C100046,0.0,0.0,C200038,0.0,0.0,1,0
47,PAYMENT,568334.0,C100047,0.0,0.0,C200041,0.0,0.0,0,0
48,PAYMENT,496121.0,C100048,0.0,0.0,C200044,0.0,0.0,0,0
49,CASH_OUT,67670.0,C100049,0.0,0.0,C200047,0.0,0.0,0,0
50,CASH_OUT,534312.0,C100000,0.0,0.0,C200000,0.0,0.0,0,0
51,PAYMENT,200754.0,C100001,0.0,0.0,C200003,0.0,0.0,0,0
52,PAYMENT,176798.0,C100002,0.0,0.0,C200006,0.0,0.0,0,0
53,PAYMENT,790943.0,C100003,0.0,0.0,C200009,0.0,0.0,0,0
54,TRANSFER,178860.0,C100004,0.0,0.0,C200012,0.0,0.0,0,0
55,CASH_OUT,409407.0,C100005,0.0,0.0,C200015,0.0,0.0,0,0
56,CASH_OUT,675507.0,C100006,0.0,0.0,C200018,0.0,0.0,0,0
57,CASH_OUT,636876.0,C100007,0.0,0.0,C200021,0.0,0.0,0,0
58,PAYMENT,498559.0,C100008,0.0,0.0,C200024,0.0,0.0,0,0
59,TRANSFER,726534.0,C100009,0.0,0.0,C200027,0.0,0.0,0,0
60,PAYMENT,419768.0,C100010,0.0,0.0,C200030,0.0,0.0,0,0
61,CASH_OUT,558726.0,C100011,0.0,0.0,C200033,0.0,0.0,0,0
62,PAYMENT,737206.0,C100012,0.0,0.0,C200036,0.0,0.0,0,0
63,TRANSFER,610604.0,C100013,0.0,0.0,C200039,0.0,0.0,0,0
64,TRANSFER,578003.0,C100014,0.0,0.0,C200042,0.0,0.0,0,0
65,TRANSFER,366109.0,C100015,0.0,0.0,C200045,0.0,0.0,0,0
66,PAYMENT,502932.0,C100016,0.0,0.0,C200048,0.0,0.0,0,0
67,PAYMENT,357078.0,C100017,0.0,0.0,C200001,0.0,0.0,0,0
68,PAYMENT,670118.0,C100018,0.0,0.0,C200004,0.0,0.0,0,0
69,CASH_OUT,343006.0,C100019,0.0,0.0,C200007,0.0,0.0,1,0
70,TRANSFER,420492.0,C100020,0.0,0.0,C200010,0.0,0.0,0,0
71,PAYMENT,680155.0,C100021,0.0,0.0,C200013,0.0,0.0,0,0
72,CASH_OUT,453786.0,C100022,0.0,0.0,C200016,0.0,0.0,0,0
73,PAYMENT,304891.0,C100023,0.0,0.0,C200019,0.0,0.0,0,0
74,PAYMENT,744310.0,C100024,0.0,0.0,C200022,0.0,0.0,0,0
75,CASH_OUT,343485.0,C100025,0.0,0.0,C200025,0.0,0.0,0,0
76,TRANSFER,760411.0,C100026,0.0,0.0,C200028,0.0,0.0,0,0
77,PAYMENT,706931.0,C100027,0.0,0.0,C200031,0.0,0.0,0,0
78,CASH_OUT,403112.0,C100028,0.0,0.0,C200034,0.0,0.0,0,0
79,CASH_OUT,641888.0,C100029,0.0,0.0,C200037,0.0,0.0,0,0
80,CASH_OUT,31916.0,C100030,0.0,0.0,C200040,0.0,0.0,0,0
81,CASH_OUT,351428.0,C100031,0.0,0.0,C200043,0.0,0.0,0,0
82,CASH_OUT,774439.0,C100032,0.0,0.0,C200046,0.0,0.0,0,0
83,PAYMENT,522005.0,C100033,0.0,0.0,C200049,0.0,0.0,0,0
84,TRANSFER,502485.0,C100034,0.0,0.0,C200002,0.0,0.0,0,0
85,CASH_OUT,598600.0,C100035,0.0,0.0,C200005,0.0,0.0,0,0
86,CASH_OUT,610226.0,C100036,0.0,0.0,C200008,0.0,0.0,0,0
87,PAYMENT,525654.0,C100037,0.0,0.0,C200011,0.0,0.0,0,0
88,TRANSFER,379145.0,C100038,0.0,0.0,C200014,0.0,0.0,0,0
89,PAYMENT,165951.0,C100039,0.0,0.0,C200017,0.0,0.0,0,0
90,TRANSFER,264085.0,C100040,0.0,0.0,C200020,0.0,0.0,0,0
91,TRANSFER,264337.0,C100041,0.0,0.0,C200023,0.0,0.0,0,0
92,PAYMENT,388239.0,C100042,0.0,0.0,C200026,0.0,0.0,1,0
93,TRANSFER,899153.0,C100043,0.0,0.0,C200029,0.0,0.0,0,0
94,TRANSFER,317944.0,C100044,0.0,0.0,C200032,0.0,0.0,0,0
95,PAYMENT,403193.0,C100045,0.0,0.0,C200035,0.0,0.0,0,0
96,CASH_OUT,335093.0,C100046,0.0,0.0,C200038,0.0,0.0,0,0
97,PAYMENT,523703.0,C100047,0.0,0.0,C200041,0.0,0.0,0,0
98,CASH_OUT,853160.0,C100048,0.0,0.0,C200044,0.0,0.0,0,0
99,PAYMENT,800276.0,C100049,0.0,0.0,C200047,0.0,0.0,0,0
100,CASH_OUT,340047.0,C100000,0.0,0.0,C200000,0.0,0.0,0,0
101,TRANSFER,240944.0,C100001,0.0,0.0,C200003,0.0,0.0,0,0
102,PAYMENT,796074.0,C100002,0.0,0.0,C200006,0.0,0.0,0,0
103,PAYMENT,444956.0,C100003,0.0,0.0,C200009,0.0,0.0,0,0
104,CASH_OUT,617301.0,C100004,0.0,0.0,C200012,0.0,0.0,0,0
105,PAYMENT,66888.0,C100005,0.0,0.0,C200015,0.0,0.0,0,0
106,PAYMENT,780035.0,C100006,0.0,0.0,C200018,0.0,0.0,0,0
107,PAYMENT,282355.0,C100007,0.0,0.0,C200021,0.0,0.0,0,0
108,TRANSFER,445579.0,C100008,0.0,0.0,C200024,0.0,0.0,0,0
109,PAYMENT,179020.0,C100009,0.0,0.0,C200027,0.0,0.0,0,0
110,CASH_OUT,378798.0,C100010,0.0,0.0,C200030,0.0,0.0,0,0
111,PAYMENT,745415.0,C100011,0.0,0.0,C200033,0.0,0.0,0,0
112,TRANSFER,744993.0,C100012,0.0,0.0,C200036,0.0,0.0,0,0
113,PAYMENT,426831.0,C100013,0.0,0.0,C200039,0.0,0.0,0,0
114,CASH_OUT,691351.0,C100014,0.0,0.0,C200042,0.0,0.0,0,0
115,CASH_OUT,412802.0,C100015,0.0,0.0,C200045,0.0,0.0,1,0
116,CASH_OUT,336647.0,C100016,0.0,0.0,C200048,0.0,0.0,0,0
117,TRANSFER,491754.0,C100017,0.0,0.0,C200001,0.0,0.0,0,0
118,PAYMENT,182005.0,C100018,0.0,0.0,C200004,0.0,0.0,0,0
119,TRANSFER,285588.0,C100019,0.0,0.0,C200007,0.0,0.0,0,0
120,TRANSFER,636169.0,C100020,0.0,0.0,C200010,0.0,0.0,0,0
121,CASH_OUT,693692.0,C100021,0.0,0.0,C200013,0.0,0.0,0,0
